Parameter,Value 1,Value 2
Manufacturer,Ideal Auto,Ideal Auto
Level,Medium and large SUV,Medium and large SUV
Energy Type,Extended Range,Extended Range
Environmental standards,National VI,National VI
Availability,2024.04,2024.04
WLTC pure electric cruising range (km),182,182
CLTC pure electric cruising range (km),212,212
Battery fast charging time (hours),0.33,0.33
Battery slow charging time (hours),6,6
Battery fast charge capacity range (%),20-80,20-80
Battery slow charging capacity range (%),0-100,0-100
Maximum power (kW),300,300
Maximum torque (Nm),529,529
Gearbox,Electric vehicle single speed gearbox,Electric vehicle single speed gearbox
Body structure,5-door 5-seater SUV,5-door 5-seater SUV
Engine,Extended range 154 hp L4,Extended range 154 hp L4
Motor (Ps),408,408
Length*width*height(mm),4925*1960*1735,4925*1960*1735
Official 0-100km/h acceleration (s),5.4,5.4
Maximum speed (km/h),180,180
WLTC comprehensive fuel consumption (L/100km),0.72,0.72
Minimum state of charge fuel consumption (L/100km),6.9,6.9
Electric energy equivalent fuel consumption (L/100km),2.39,2.39
Curb weight (kg),2330,2345
Maximum full load mass (kg),2820,2820
Body
Length(mm),4925,4925
Width(mm),1960,1960
Height(mm),1735,1735
Wheelbase(mm),2900,2900
Front wheel track (mm),1666,1666
Rear track (mm),1704,1704
Approach angle (°),20,20
Departure angle (°),twenty one,twenty one
Body structure,SUV,SUV
Door opening method,Swing door,Swing door
Number of doors,5,5
Number of seats,5,5
Fuel tank capacity (L),60,60
Trunk volume (L),560,560
Drag coefficient (Cd),0.269,0.269
Engine
Engine Model,L2E15M,L2E15M
Displacement (mL),1496,1496
Displacement (L),1.5,1.5
Air intake form,Turbocharger,Turbocharger
Engine layout,Sideways,Sideways
Cylinder arrangement,L,L
Number of cylinders,4,4
Number of valves per cylinder,4,4
Valve mechanism,DOHC,DOHC
Maximum horsepower (Ps),113,113
Maximum power (kW),113,113
Maximum power speed (rpm),5500,5500
Maximum torque (Nm),240,240
Maximum torque speed (rpm),1500-4000,1500-4000
Maximum net power (kW),110,110
Energy Type,Extended Range,Extended Range
Fuel grade,No. 92s,No. 92s
Oil supply method,Direct Injection,Direct Injection
Cylinder head material,Aluminum Alloy,Aluminum Alloy
Cylinder material,Aluminum Alloy,Aluminum Alloy
Environmental standards,National VI,National VI
Electric Motor
Front motor model,TZ180XS118,TZ180XS118
Rear motor model,TZ190XY017,TZ190XY017
Motor Type,Permanent magnet/synchronous,Permanent magnet/synchronous
Total motor power (kW),300,300
Total motor horsepower (Ps),408,408
Total torque of the motor (Nm),529,529
Maximum power of front motor (kW),120,120
Maximum torque of front motor (Nm),240,240
Maximum power of rear motor (kW),190,190
Maximum torque of rear motor (Nm),309,309
System total power (kW),300,300
System comprehensive power (Ps),408,408
System comprehensive torque (Nm),529,529
Number of drive motors,Dual motors,Dual motors
Motor layout,Front + rear,Front + rear
Battery Type,Lithium iron phosphate battery,Lithium iron phosphate battery
Battery brand,CATL/Xinwanda,CATL/Xinwanda
Battery unique technology,Using flame retardant materials and thermal runaway protection technology,Using flame retardant materials and thermal runaway protection technology
Battery cooling method,Liquid Cooling,Liquid Cooling
WLTC pure electric cruising range (km),182,182
CLTC pure electric cruising range (km),212,212
WLTC comprehensive range (km),1160,1160
CLTC comprehensive endurance (km),1390,1390
